Schistosity (strike),Dip,Photo,Orientation,Fold hinge (dip),Orientation,Mineral lineation (dip),Orientation,Crenulation (strike),Dip,Orientation,Dyke orientation (strike),Dip,Orientation,GPS,,,,Fold hinge,y,x,y',x',long',lat',long WGS84,lat WGS84,,Photo
40,87,IMG_7408.jpg,W,,,,,,,,,,,626144,83821,,,,626144,83821,0.026144,-0.116179,2.799185172,16.52597616,7.775514366,45.90548934,,IMG_7408.jpg
30,39,IMG_7408.jpg,NW,,,,,,,,,,,626162,83833,,,,626162,83833,0.026162,-0.116167,2.799268907,16.52601477,7.775746965,45.90559659,,IMG_7408.jpg
30,72,IMG_7408.jpg,NW,20-222,222,,,,,,,,,626179,83836,,,222,626179,83836,0.026179,-0.116164,2.799347825,16.52602425,7.775966181,45.90562292,,IMG_7408.jpg
36,79,IMG_7408.jpg,W,04-222,222,,,,,,,,,626184,83865,,,222,626184,83865,0.026184,-0.116135,2.799371597,16.52611809,7.776032213,45.90588358,,IMG_7408.jpg
,,IMG_7408.jpg,,,,31-195,,,,,095/35 S,,,626127,83918,,,,626127,83918,0.026127,-0.116082,2.799108243,16.52629051,7.775300675,45.90636253,,IMG_7408.jpg
143,36,IMG_7408.jpg,SW,,,28-218,,,,,083/76 S,,,616132,83939,,,,616132,83939,0.016132,-0.116061,2.752743642,16.52647078,7.646510116,45.90686327,,IMG_7408.jpg
35,60,IMG_7408.jpg,E,,,,,,,,,,,626140,83974,,,,626140,83974,0.02614,-0.116026,2.799169661,16.52647167,7.775471281,45.90686576,,IMG_7408.jpg
58,38,IMG_7408.jpg,SE,,,,,,,,,,,626140,83974,,,,626140,83974,0.02614,-0.116026,2.799169661,16.52647167,7.775471281,45.90686576,,IMG_7408.jpg
28,42,IMG_7408.jpg,SE,,,,,,,,,,,626126,84036,,,,626126,84036,0.026126,-0.115964,2.799105951,16.52667264,7.775294307,45.907424,,IMG_7408.jpg
1,30,IMG_7408.jpg,W,,,,,,,,,,,626114,84029,,,,626114,84029,0.026114,-0.115971,2.799050145,16.52665014,7.775139292,45.9073615,,IMG_7408.jpg
32,52,IMG_7408.jpg,SE,,,,,,,,,,,626072,84000,,,,626072,84000,0.026072,-0.116,2.798854738,16.52655681,7.774596493,45.90710225,,IMG_7408.jpg
52,57,IMG_7408.jpg,SE,,,,,,,,,,,626039,83985,,,,626039,83985,0.026039,-0.116015,2.798701359,16.52650869,7.77417044,45.9069686,,IMG_7408.jpg
16,50,IMG_7408.jpg,SE,,,,,,,,,,,625998,83967,,,,625998,83967,0.025998,-0.116033,2.79851081,16.52645097,7.77364114,45.90680826,,IMG_7408.jpg
171,50,IMG_7408.jpg,SW,,,11-201,,,,,,,,?,,,,,?,0,#VALUE!,-0.2,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,IMG_7408.jpg
135,46,IMG_7408.jpg,SW,33-212,212,,,,,,,,,625610,83628,,,212,625610,83628,0.02561,-0.116372,2.796704342,16.52535852,7.768623173,45.90377368,,IMG_7408.jpg
30,35,IMG_7408.jpg,NW,,,,,,,,,,,625679,83736,,,,625679,83736,0.025679,-0.116264,2.797026514,16.52570732,7.769518093,45.90474254,,IMG_7408.jpg
32,61,IMG_7408.jpg,NW,,,,,,,,,,,625680,83739,,,,625680,83739,0.02568,-0.116261,2.797031211,16.52571702,7.769531141,45.90476949,,IMG_7408.jpg
34,40,IMG_7408.jpg,NW,,,,,,,,,,,625724,83849,,,,625724,83849,0.025724,-0.116151,2.797237465,16.52607262,7.770104069,45.90575729,,IMG_7408.jpg
50,68,IMG_7408.jpg,NW,68-256,256,,,078/73 NW,,,,,,625685,83941,,,256,625685,83941,0.025685,-0.116059,2.797058353,16.52637108,7.769606536,45.90658633,,IMG_7408.jpg
100,71,IMG_7408.jpg,S,33-260,260,,,,,,,,,625729,83966,,,260,625729,83966,0.025729,-0.116034,2.79726295,16.52645143,7.77017486,45.90680954,,IMG_7408.jpg
,,IMG_7408.jpg,,,,,,,,,040/48 NW,,,625796,84023,,,,625796,84023,0.025796,-0.115977,2.79757487,16.5266351,7.771041304,45.90731971,,IMG_7408.jpg
,,IMG_7408.jpg,,,,,,,,,024/62 W,,,625796,84023,,,,625796,84023,0.025796,-0.115977,2.79757487,16.5266351,7.771041304,45.90731971,,IMG_7408.jpg
61,60,IMG_7408.jpg,NW,,,,,,,,,,,625832,84062,,,,625832,84062,0.025832,-0.115938,2.797742635,16.52676089,7.77150732,45.90766915,,IMG_7408.jpg
,,IMG_7408.jpg,,,,,,,,,056/73 NW,,,625885,84091,,,,625885,84091,0.025885,-0.115909,2.797989068,16.52685408,7.772191855,45.90792799,,IMG_7408.jpg
28,29,IMG_7408.jpg,E,10-068,68,18-075,,080/52 NW,,,,,,625885,84091,,,68,625885,84091,0.025885,-0.115909,2.797989068,16.52685408,7.772191855,45.90792799,,IMG_7408.jpg
,,IMG_7408.jpg,,,,,,,,,041/47 NW,,,625885,84091,,,,625885,84091,0.025885,-0.115909,2.797989068,16.52685408,7.772191855,45.90792799,,IMG_7408.jpg
